メノー,こんにちは。今日は同人サークルTREYで使用している、ノベルゲーム作成スクリプトの紹介をさせてもらうわ。
メノー,このスクリプトでは、基本的にcsvファイルからシナリオを読み込んで会話とキャラクター名の表示を行うことができるの。
メノー,今回のバージョンでは、その基本的な機能の他にノベルゲームを作る際に便利な追加機能をもりこんだ感じね。
メノー,説明するよりも見てもらったほうがいいだろうから、友達に実践してもらうわね。
トーコ,おはよー！メノーちゃん！今日はなんの用事？？
メノー,丁度よかった。トーコには今日動作検証の実験台になってもらいたいの。
トーコ,実験台！？楽しそう！やるやる！！それで、私はなにをしたらいいの？
メノー,それじゃ、いったん外に出てちょうだい。
トーコ,外に出ればいいんだね！分かった！
メノー,……
メノー,こんな感じの入退室演出ってノベルゲームでは結構使うことになるんだけど、この演出を簡単に制御できるようにしたのが今回のスクリプトの特徴よ。
メノー,トーコ！もう大丈夫よ！戻ってきて！
トーコ,はいはーい！どう？これだけでよかったの？？
メノー,ええ、ありがとう。十分実験できたわ。それじゃ、ここからは簡単な変数の説明をしていくわね。
メノー,はじめにあるのが、ActorList変数。ここではシナリオで登場するキャラクターイメージを予め設定しておくことで、それぞれ個別座標の設定が出来るようになってるの。
トーコ,ほへー、そのまま出演者リストって感じなんだね！
メノー,そうね、でも実際画像サイズとかが一律ならいらない機能なんだけど、同人だとバラバラなこともあるだろうから、いれておいたわ。
メノー,次はActor変数よ。Actor関数ではそれぞれのイベントの時に動いてほしいキャラクターイメージを設定しておくの。
トーコ,○○さーん！動いてくださ－い！って感じだね！
メノー,そんな感じのイメージで大丈夫よ。ここで誰に動いてもらうのかを明確にしてほしいの。
トーコ,なるほどなるほど。
メノー,次はSideActor変数。ここでは動いて欲しいキャラクターイメージが画面の右側か左側どちらのものかを設定するの。
メノー,チェックを入れてないデフォルトが左側。チェックを入れると右側のキャラクターという設定になるわ。
メノー,ちょっと急いじゃうけど次はActiveActorよここではキャラクターに画面から出てほしいのか、画面に入ってほしいのかを選択できるわ。
メノー,デフォルトが画面外、チェックを入れると画面内にキャラクターイメージの座標が移るわ。
トーコ,ふむふむ。
メノー,それじゃ最後は、TrigerEvent変数ね。ここではイベントを発生させたいシナリオの行数を入力するの。
メノー,シナリオの行数は0から始まってるから、体感と違うことに注意してね。
トーコ,プログラムの行列と同じ感じだね！
メノー,そうね、これはプログラミングだと何度も出てくる問題でもあるから、言わなくてもよかったんだけど、一応ね。
メノー,それじゃ、今日のプログラミング紹介はここまで！簡単な説明だけだけど、便利なプログラムだから是非使ってみて頂戴！
トーコ,はーい！ねね！メノーちゃん！じゃ帰りにパフェ食べて帰ろ！
メノー,はいはい。それじゃ食べてかえりましょうか。
トーコ,やったー！
